run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220622-00:09:55-27458,runattr,,,configname,General,,,
General-0-20220622-00:09:55-27458,runattr,,,datetime,20220622-00:09:55,,,
General-0-20220622-00:09:55-27458,runattr,,,experiment,General,,,
General-0-20220622-00:09:55-27458,runattr,,,inifile,omnetpp.ini,,,
General-0-20220622-00:09:55-27458,runattr,,,iterationvars,,,,
General-0-20220622-00:09:55-27458,runattr,,,iterationvarsf,,,,
General-0-20220622-00:09:55-27458,runattr,,,measurement,,,,
General-0-20220622-00:09:55-27458,runattr,,,network,Network,,,
General-0-20220622-00:09:55-27458,runattr,,,processid,27458,,,
General-0-20220622-00:09:55-27458,runattr,,,repetition,0,,,
General-0-20220622-00:09:55-27458,runattr,,,replication,#0,,,
General-0-20220622-00:09:55-27458,runattr,,,resultdir,results,,,
General-0-20220622-00:09:55-27458,runattr,,,runnumber,0,,,
General-0-20220622-00:09:55-27458,runattr,,,seedset,0,,,
General-0-20220622-00:09:55-27458,param,,,Network.**.app.amountHosts,8,,,
General-0-20220622-00:09:55-27458,param,,,Network.**.app.interArrivalTime,exponential(2),,,
General-0-20220622-00:09:55-27458,param,,,Network.**.app.packetByteSize,125000,,,
General-0-20220622-00:09:55-27458,param,,,Network.**.app.destination,"intuniform(0, 7)",,,
General-0-20220622-00:09:55-27458,vector,Network.node[0].app,Delay,,,,"0 1.116869338186 1.797120776968 5.903290671769 8.018401781778 8.041646453761 10.198695407906 13.4589196044 14.72177759512 16.937616348328 19.476743862579 24.573243137381 25.8260239055 27.847232937217 28.255808080355 29.255808080355 29.785798293819 30.785798293819 31.880783635642 33.101699379043 34.965797359666 37.073993358538 38.073993358538 45.073993358538 46.026661940681 46.073993358538 47.073993358538 49.026661940681 50.026661940681 55.492758578441 56.901556503173 59.901556503173 61.391745188106 62.532877047081 63.532877047081 68.299686868849 70.789817472738 71.299686868849 71.789817472738 72.299686868849 73.789817472738 74.789817472738 78.548752044652 78.789817472738 79.789817472738 82.789817472738 86.611706052218 87.611706052218 90.436982571462 91.436982571462 93.733476272485 94.102373812122 103.588485503861 105.26952231513 106.76582591678 109.700946304997 113.160343292293 114.043919293046 116.500428286204 117.500428286204 117.942334807144 118.500428286204 120.500428286204 123.306047454836 124.306047454836 125.306047454836 125.957877083805 135.292329471211 135.730685167151 139.650800227275 139.983918557806 141.06794975029 145.07673667699 147.636652446604 148.931884716931 150.636652446604 152.636652446604 154.636652446604 155.582843025851 155.931884716931 156.636652446604 157.636652446604 157.64823027755 158.931884716931 159.636652446604 161.636652446604 162.636652446604 163.636652446604 168.696423950807 169.696423950807 177.122716250325 179.577160002877 180.396696820676 181.396696820676 184.396696820676 187.064795067803 187.366911496381 188.138557620131 190.00792379605 191.00792379605 195.871884314662 195.966324411169","0 1.0001 0 2.0002 0 3.0003 3.0003 1.0001 0 2.0002 2.339114085121 1.0001 1.203521215411 1.0001 1.0001 3.779995085904 4.139998754637 1.116616538013 2.0002 0 3.0003 1.0001 1.790336328799 2.72007924065 2.0002 2.203813763219 3.079225537775 3.613800460925 4.510434649334 0 3.141043929704 3.359630014789 2.891858341904 1.0001 2.614168021014 3.0003 3.0003 4.088506300582 2.600800012943 5.61251160618 6.501308089455 5.069927142738 2.0002 3.969116598016 5.184701246994 6.816122141421 3.054388834752 4.692581841348 4.320400327932 5.033894285168 0 1.0001 3.147426670272 0 4.807317441945 3.082244145025 1.0001 3.097722403019 3.692018872421 1.854408565426 1.0001 4.287125568653 1.26690909283 2.0002 2.678739918865 1.876506521739 3.948643911148 0 2.626093015458 2.0002 1.0001 3.0003 1.0001 3.0003 2.0002 5.886897887634 1.573874518694 5.928631826074 0 2.779514466536 7.155643461987 6.762117885969 0 5.300263138634 2.394411779084 5.117279550471 2.495768040133 3.387894127297 3.766251373185 1.793337809314 2.757285538697 0 1.0001 2.566336714091 5.062587144703 3.0003 3.0003 1.0001 1.0001 5.217207022885 0 2.0002"
