run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220622-00:08:41-27205,runattr,,,configname,General,,,
General-0-20220622-00:08:41-27205,runattr,,,datetime,20220622-00:08:41,,,
General-0-20220622-00:08:41-27205,runattr,,,experiment,General,,,
General-0-20220622-00:08:41-27205,runattr,,,inifile,omnetpp.ini,,,
General-0-20220622-00:08:41-27205,runattr,,,iterationvars,,,,
General-0-20220622-00:08:41-27205,runattr,,,iterationvarsf,,,,
General-0-20220622-00:08:41-27205,runattr,,,measurement,,,,
General-0-20220622-00:08:41-27205,runattr,,,network,Network,,,
General-0-20220622-00:08:41-27205,runattr,,,processid,27205,,,
General-0-20220622-00:08:41-27205,runattr,,,repetition,0,,,
General-0-20220622-00:08:41-27205,runattr,,,replication,#0,,,
General-0-20220622-00:08:41-27205,runattr,,,resultdir,results,,,
General-0-20220622-00:08:41-27205,runattr,,,runnumber,0,,,
General-0-20220622-00:08:41-27205,runattr,,,seedset,0,,,
General-0-20220622-00:08:41-27205,param,,,Network.**.app.amountHosts,8,,,
General-0-20220622-00:08:41-27205,param,,,"Network.node[{0,",2}].app.interArrivalTime,,,
General-0-20220622-00:08:41-27205,param,,,"Network.node[{0,",2}].app.packetByteSize,,,
General-0-20220622-00:08:41-27205,param,,,"Network.node[{0,",2}].app.destination,,,
General-0-20220622-00:08:41-27205,vector,Network.node[0].app,Delay,,,,"0","0"
General-0-20220622-00:08:41-27205,vector,Network.node[0].app,Hops,,,,"0","0"
General-0-20220622-00:08:41-27205,vector,Network.node[0].lnk[0],Buffer Size,,,,"0 0 0 0.002848 0.002848 1.797120776968 1.797120776968 3.64356703991 3.64356703991 7.546657711679 7.546657711679 8.64875468502 8.64875468502 10.602767537807 10.602767537807 11.57302386525 11.602767537807 12.279342143525 12.396111481711 12.602767537807 13.602767537807 19.025936041568 19.025936041568 22.163728276814 22.163728276814 23.66907650344 23.66907650344 25.34794220924 25.34794220924 28.96468073779 28.96468073779 29.11205144872 29.935207441205 29.96468073779 30.117529493454 30.96468073779 31.96468073779 32.20675451007 32.96468073779 38.507094367422 38.507094367422 42.588878799245 42.588878799245 43.872297144601 43.872297144601 47.082776258724 47.082776258724 50.310780408509 50.310780408509 51.780709250889 51.780709250889 54.052587134309 54.052587134309 54.304335953185 55.052587134309 56.854791357632 56.854791357632 57.164250718632 57.854791357632 58.705920035567 58.854791357632 61.548649395754 61.548649395754 63.024303979266 63.024303979266 63.248196300531 64.024303979266 64.319327740987 64.933888445292 65.024303979266 65.346295009353 66.024303979266 67.024303979266 68.016875378601 68.024303979266 69.235040224967 69.235040224967 69.525596279551 69.563533417953 70.235040224967 70.347075039306 71.235040224967 72.235040224967 72.269836917438 72.772720781588 73.235040224967 73.749834880204 74.235040224967 75.235040224967 79.505664922759 79.505664922759 80.701157076396 80.701157076396 81.592194066498 81.701157076396 82.74125887998 82.74125887998 87.393961003369 87.393961003369 89.591785938471 89.591785938471 91.709454201446 91.709454201446 93.93064909282 93.93064909282 94.206706469677 94.93064909282 96.984791849259 96.984791849259 97.888995969708 97.984791849259 99.577851556763 99.577851556763 108.486845249115 108.486845249115 108.955448286666 109.486845249115 110.971486777506 110.971486777506 113.088972207694 113.088972207694 114.832803914945 114.832803914945 115.416964981479 115.832803914945 116.487094335646 116.832803914945 117.742977497628 117.832803914945 119.030539500833 119.030539500833 119.591093517791 120.030539500833 121.544821665932 121.544821665932 122.369824125777 122.544821665932 124.505968520076 124.505968520076 124.80339305858 125.505968520076 127.816663725125 127.816663725125 128.736691640606 128.816663725125 130.909230402363 130.909230402363 134.349893717796 134.349893717796 136.589522449304 136.589522449304 136.791591999922 137.589522449304 143.938768744611 143.938768744611 148.149411346195 148.149411346195 148.264065199043 149.149411346195 150.121022192846 150.149411346195 151.320915966128 151.320915966128 154.009406510433 154.009406510433 154.049786766725 154.129739364842 155.009406510433 155.295496142576 156.009406510433 157.009406510433 163.078636388267 163.078636388267 164.148405139781 164.148405139781 169.156228705951 169.156228705951 170.821915738083 170.821915738083 174.828396783097 174.828396783097 175.025697399934 175.828396783097 180.106306415851 180.106306415851 180.27984738053 181.106306415851 185.578359237883 185.578359237883 185.861020665005 186.578359237883 187.944581973364 187.944581973364 190.464449593582 190.464449593582 191.147757927634 191.464449593582 191.762793375159 192.167494252293 192.464449593582 193.464449593582 193.933752336212 193.974377253803 194.334881757773 194.464449593582 195.464449593582 196.464449593582 197.866363902599 197.866363902599 199.552529966896 199.552529966896","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 1 0 1 0 1 0 1 2 1 2 1 0 1 2 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 2 3 2 1 0 1 0 1 0"
General-0-20220622-00:08:41-27205,vector,Network.node[0].lnk[1],Buffer Size,,,,"0 0.002848 0.002848","0 1 0"
